id;creation_date;banned_user;banned_date
1;2019-10-12T16:46:28;false;2019-10-12T21:24:40
2;2019-10-12T21:12:20;true;2019-10-12T16:46:17
3;2019-10-12T04:34:45;true;2019-10-12T04:02:51
4;2019-10-12T02:34:46;true;2019-10-12T07:00:02
5;2019-10-12T19:45:59;true;2019-10-12T12:56:26
6;2019-10-12T05:55:04;false;2019-10-11T23:35:05
7;2019-10-12T00:49:45;true;2019-10-12T06:35:04
8;2019-10-12T10:45:25;false;2019-10-12T19:15:13
9;2019-10-12T20:01:05;false;2019-10-12T14:04:48
10;2019-10-12T05:29:30;false;2019-10-12T05:33:42
