id;creation_date;image;image_content_type
1;2019-10-11T23:58:43;../fake-data/blob/hipster.png;image/png
2;2019-10-12T05:29:17;../fake-data/blob/hipster.png;image/png
3;2019-10-12T06:59:22;../fake-data/blob/hipster.png;image/png
4;2019-10-12T07:36:26;../fake-data/blob/hipster.png;image/png
5;2019-10-12T21:19:22;../fake-data/blob/hipster.png;image/png
6;2019-10-12T12:36:32;../fake-data/blob/hipster.png;image/png
7;2019-10-12T19:06:30;../fake-data/blob/hipster.png;image/png
8;2019-10-11T22:58:50;../fake-data/blob/hipster.png;image/png
9;2019-10-12T05:37:11;../fake-data/blob/hipster.png;image/png
10;2019-10-11T22:10:33;../fake-data/blob/hipster.png;image/png
